# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG
ENGINEER                 449 531 514 495 
ENGINEERING                -   -   -   - 
ENGLAND                    -   -   -   - 
ENGLISH                    -   -   -   - 
ENJOY                      -   -   -   - 
ENOUGH                     - 246 545 345 
ENTER                      -   -   -   - 
ENTIRE                     -   - 531 310 
ENTRANCE                 372 484 555 493 
ENVIRONMENT                -   -   -   - 
EQUAL                      -   - 591 321 
EQUALLY                    -   -   -   - 
EQUIPMENT                447 532 543 410 
EQUIVALENT                 -   -   -   - 
ESCAPE                   353 341 524 459 
ESSENTIAL                  -   - 546 268 
ESTABLISH                  -   -   -   - 
ESTABLISHMENT            526 391 486 389 
ESTATE                     - 541 498 474 
ESTIMATE                 503 293 505 305 
ETC                        -   -   -   - 
EUROPEAN                   -   -   -   - 
EVEN                       - 283 576 338 
EVENING                  303 439 630 559 
EVENT                      - 379 574 334 
EVENTUALLY                 -   -   -   - 
EVER                       - 299 557 273 
EVERY                      - 264 597 267 
EVERYBODY                  -   -   -   - 
EVERYONE                   -   -   -   - 
EVERYTHING                 -   -   -   - 
EVERYWHERE                 -   -   -   - 
EVIDENCE                 480 340 504 356 
EVIDENT                    -   -   -   - 
EVIL                       -   - 538 434 
EXACTLY                    -   -   -   - 
EXAMPLE                    -   -   -   - 
EXCELLENT                  -   - 587 366 
EXCEPT                     -   -   -   - 
EXCEPTION                472 260 512 232 
EXCESS                     -   -   -   - 
EXCHANGE                 443 356 504 394 
EXECUTIVE                547 477 458 513 
EXERCISE                   -   -   -   - 
EXIST                      -   -   -   - 
EXISTENCE                  -   -   -   - 
EXPANSION                  - 325 515 417 
EXPECT                     -   -   -   - 
EXPENSE                    -   -   -   - 
EXPENSIVE                  -   - 633 402 
EXPERIENCE               464 275 604 367 
EXPERIMENT                 -   -   -   - 
EXPERIMENTAL               -   -   -   - 
EXPLAIN                    -   -   -   - 
EXPLANATION              444 308 553 329 
EXPRESS                  467 402 530 456 
EXPRESSION                 - 297 527 386 
EXTENDED                   -   -   -   - 
EXTENSIVE                  -   - 468 307 
EXTENT                   489 267 510 248 
EXTERNAL                   -   -   -   - 
EXTRA                    331 262 570 337 
EXTREME                  458 265 557 332 
EYE                      167 634 611 603 
F                          -   -   -   - 
FACE                     166 599 612 581 
FACED                      -   -   -   - 
FACT                       - 332 593 302 
FACTOR                   474 328 499 269 
FACULTY                    -   -   -   - 
FAILURE                  439 282 542 437 
FAIR                       - 413 573 439 
FAIRLY                     -   -   -   - 
FAITH                      -   -   -   - 
FALL                       - 409 572 547 
FAMILIAR                   -   -   -   - 
FAMILY                   280 525 607 577 
FAMOUS                     -   - 556 376 
FAR                        - 302 587 411 
FARM                       - 565 564 560 
FASHION                  467 356 548 474 
FAST                       - 304 600 411 
FAT                      236 540 609 574 
FATHER                     - 594 591 646 
FEAR                       - 326 569 394 
FEBRUARY                   -   -   -   - 
